model_type,run_id_prefix,lr,epochs,activation,hidden,blocks,seed,run_id,mse_teste_normalizado,mse_teste_desnormalizado,num_params,training_time_sec,model_path,loss_history_path,final_total_loss,mean_last_100_loss
MLP,mlp,0.002,15000,Tanh(),3,1,1900,mlp_n_3_b_1_seed_1900,4.6369448682526127e-05,0.9088411927223206,13,15.325182914733887,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1900.json,6.308103911578655e-05,6.314360740361735e-05
MLP,mlp,0.002,15000,Tanh(),3,1,1905,mlp_n_3_b_1_seed_1905,0.00011195077968295664,2.19423508644104,13,15.28756046295166,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1905.json,0.0001524651306681335,0.0001528602327744011
MLP,mlp,0.002,15000,Tanh(),3,1,1924,mlp_n_3_b_1_seed_1924,0.00023774777946528047,4.659856796264648,13,15.288215637207031,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1924.json,0.000308622868033126,0.00030906731670256706
MLP,mlp,0.002,15000,Tanh(),3,1,1925,mlp_n_3_b_1_seed_1925,0.00014763932267669588,2.893730640411377,13,15.271125316619873,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1925.json,0.00019961145881097764,0.00020063817282789387
MLP,mlp,0.002,15000,Tanh(),3,1,1926,mlp_n_3_b_1_seed_1926,0.00011564236774574965,2.2665908336639404,13,15.276192665100098,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_1_seed_1926.json,0.00015744932170491666,0.00015826221206225455
MLP,mlp,0.002,15000,Tanh(),3,2,1900,mlp_n_3_b_2_seed_1900,1.2993778000236489e-05,0.25467801094055176,25,20.1503267288208,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1900.json,1.803535269573331e-05,1.903504668007372e-05
MLP,mlp,0.002,15000,Tanh(),3,2,1905,mlp_n_3_b_2_seed_1905,0.00011964785517193377,2.3450982570648193,25,20.15628480911255,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1905.json,0.00016405904898419976,0.00016568859005928972
MLP,mlp,0.002,15000,Tanh(),3,2,1924,mlp_n_3_b_2_seed_1924,6.120447505963966e-05,1.1996076107025146,25,20.252788543701172,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1924.json,8.255795546574518e-05,8.292493788758293e-05
MLP,mlp,0.002,15000,Tanh(),3,2,1925,mlp_n_3_b_2_seed_1925,9.969664097297937e-05,1.9540541172027588,25,20.188369035720825,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1925.json,0.00013540577492676675,0.00013863583706552162
MLP,mlp,0.002,15000,Tanh(),3,2,1926,mlp_n_3_b_2_seed_1926,1.279285061173141e-05,0.2507398724555969,25,20.20100712776184,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_2_seed_1926.json,1.7603331798454747e-05,1.762910294928588e-05
MLP,mlp,0.002,15000,Tanh(),3,3,1900,mlp_n_3_b_3_seed_1900,9.81520952336723e-06,0.19237813353538513,37,25.008136749267578,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1900.json,8.65713991515804e-06,9.609647777324427e-06
MLP,mlp,0.002,15000,Tanh(),3,3,1905,mlp_n_3_b_3_seed_1905,8.866663847584277e-06,0.17378659546375275,37,24.998416662216187,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1905.json,1.0192095942329615e-05,1.287138219595363e-05
MLP,mlp,0.002,15000,Tanh(),3,3,1924,mlp_n_3_b_3_seed_1924,1.3867689631297253e-05,0.2718066871166229,37,24.94889187812805,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1924.json,1.852952664194163e-05,1.895430335935089e-05
MLP,mlp,0.002,15000,Tanh(),3,3,1925,mlp_n_3_b_3_seed_1925,8.985342901723925e-06,0.17611272633075714,37,24.991450786590576,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1925.json,9.889477041724604e-06,1.0307478723916575e-05
MLP,mlp,0.002,15000,Tanh(),3,3,1926,mlp_n_3_b_3_seed_1926,8.519436960341409e-06,0.16698096692562103,37,25.003763675689697,experimentos_pinn/modelos_salvos/modelo_mlp_n_3_b_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_3_b_3_seed_1926.json,9.117205081565771e-06,1.0822601152540301e-05
MLP,mlp,0.002,15000,Tanh(),5,1,1900,mlp_n_5_b_1_seed_1900,7.457377068931237e-05,1.4616460800170898,21,15.68875241279602,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1900.json,0.00010129686415893957,0.00010153422328585294
MLP,mlp,0.002,15000,Tanh(),5,1,1905,mlp_n_5_b_1_seed_1905,4.708105916506611e-05,0.9227887392044067,21,15.745085954666138,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1905.json,6.4418425608892e-05,6.450829365348908e-05
MLP,mlp,0.002,15000,Tanh(),5,1,1924,mlp_n_5_b_1_seed_1924,0.00010417366866022348,2.0418038368225098,21,15.756510019302368,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1924.json,0.0001390850666211918,0.00014008436352014542
MLP,mlp,0.002,15000,Tanh(),5,1,1925,mlp_n_5_b_1_seed_1925,6.547932571265846e-05,1.2833949327468872,21,15.690093994140625,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1925.json,8.929501927923411e-05,8.968796195404139e-05
MLP,mlp,0.002,15000,Tanh(),5,1,1926,mlp_n_5_b_1_seed_1926,9.743013652041554e-05,1.9096308946609497,21,15.735466003417969,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_1_seed_1926.json,0.00012749023153446615,0.00012763806676957756
MLP,mlp,0.002,15000,Tanh(),5,2,1900,mlp_n_5_b_2_seed_1900,7.957546586112585e-06,0.15596790611743927,51,21.057706356048584,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_2_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_2_seed_1900.json,9.715665328258183e-06,9.752210817168816e-06
MLP,mlp,0.002,15000,Tanh(),5,2,1905,mlp_n_5_b_2_seed_1905,2.0989762560930103e-05,0.41139933466911316,51,21.017882823944092,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_2_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_2_seed_1905.json,3.594647569116205e-05,3.4266635448148006e-05
MLP,mlp,0.002,15000,Tanh(),5,2,1924,mlp_n_5_b_2_seed_1924,1.5786028598085977e-05,0.3094061613082886,51,20.99703812599182,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_2_seed_1924.json,2.2095242456998676e-05,2.223561277787667e-05
MLP,mlp,0.002,15000,Tanh(),5,2,1925,mlp_n_5_b_2_seed_1925,7.516424375353381e-05,1.4732191562652588,51,20.994773864746094,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_2_seed_1925.json,9.329483873443678e-05,8.694462339917664e-05
MLP,mlp,0.002,15000,Tanh(),5,2,1926,mlp_n_5_b_2_seed_1926,7.574154551548418e-06,0.14845339953899384,51,20.96428108215332,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_2_seed_1926.json,9.789397154236212e-06,9.836259068833898e-06
MLP,mlp,0.002,15000,Tanh(),5,3,1900,mlp_n_5_b_3_seed_1900,8.105504093691707e-06,0.15886785089969635,81,26.21267819404602,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_3_seed_1900.json,1.0047622708952986e-05,1.0379562108937535e-05
MLP,mlp,0.002,15000,Tanh(),5,3,1905,mlp_n_5_b_3_seed_1905,7.165226179495221e-06,0.14043845236301422,81,26.18991208076477,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_3_seed_1905.json,6.832907274656463e-06,9.56361202042899e-06
MLP,mlp,0.002,15000,Tanh(),5,3,1924,mlp_n_5_b_3_seed_1924,8.320981578435749e-06,0.163091242313385,81,26.16930866241455,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_3_seed_1924.json,8.785680620349012e-06,1.2615473879122874e-05
MLP,mlp,0.002,15000,Tanh(),5,3,1925,mlp_n_5_b_3_seed_1925,9.059081094164867e-06,0.17755797505378723,81,26.182894468307495,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_3_seed_1925.json,9.794478501135018e-06,9.840989596341388e-06
MLP,mlp,0.002,15000,Tanh(),5,3,1926,mlp_n_5_b_3_seed_1926,6.337702870951034e-06,0.12421897798776627,81,26.244672298431396,experimentos_pinn/modelos_salvos/modelo_mlp_n_5_b_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_mlp_n_5_b_3_seed_1926.json,4.766281108459225e-06,8.77350516475417e-06
ResNet,resnet,0.002,15000,Tanh(),2,1,1900,resnet_n_2_b_1_seed_1900,9.970364772016183e-05,1.9541919231414795,21,74.428231716156,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_1_seed_1900.json,0.0001331430539721623,0.0001333878212608397
ResNet,resnet,0.002,15000,Tanh(),2,1,1905,resnet_n_2_b_1_seed_1905,9.637354196456727e-06,0.18889212608337402,21,26.38149380683899,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_1_seed_1905.json,1.0804087651195005e-05,1.1710282351486966e-05
ResNet,resnet,0.002,15000,Tanh(),2,1,1924,resnet_n_2_b_1_seed_1924,1.8336828361498192e-05,0.3594018816947937,21,25.403905391693115,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_1_seed_1924.json,2.8504104193416424e-05,3.0096074951870832e-05
ResNet,resnet,0.002,15000,Tanh(),2,1,1925,resnet_n_2_b_1_seed_1925,1.0962328815367073e-05,0.21486161649227142,21,25.33313012123108,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_1_seed_1925.json,1.9690580302267335e-05,2.0283687099436065e-05
ResNet,resnet,0.002,15000,Tanh(),2,1,1926,resnet_n_2_b_1_seed_1926,5.6143577239708975e-05,1.1004142761230469,21,25.576990604400635,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_1_seed_1926.json,7.524497777922079e-05,7.669012826227118e-05
ResNet,resnet,0.002,15000,Tanh(),2,2,1900,resnet_n_2_b_2_seed_1900,2.035794204857666e-05,0.39901575446128845,33,35.507657051086426,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_2_seed_1900.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_2_seed_1900.json,2.7974305339739658e-05,2.8022883907397044e-05
ResNet,resnet,0.002,15000,Tanh(),2,2,1905,resnet_n_2_b_2_seed_1905,0.00013682099233847111,2.6816916465759277,33,35.58289933204651,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_2_seed_1905.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_2_seed_1905.json,0.00018944108160212636,0.0001907173557265196
ResNet,resnet,0.002,15000,Tanh(),2,2,1924,resnet_n_2_b_2_seed_1924,3.572554123820737e-05,0.7002207040786743,33,35.451271772384644,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_2_seed_1924.json,4.8293550207745284e-05,4.892815264611272e-05
ResNet,resnet,0.002,15000,Tanh(),2,2,1925,resnet_n_2_b_2_seed_1925,1.2838635484513361e-05,0.2516372501850128,33,35.465707302093506,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_2_seed_1925.json,1.792392140487209e-05,1.929934865984251e-05
ResNet,resnet,0.002,15000,Tanh(),2,2,1926,resnet_n_2_b_2_seed_1926,2.854689046216663e-05,0.5595190525054932,33,35.5677752494812,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_2_seed_1926.json,3.9886068407213315e-05,4.123278060433222e-05
ResNet,resnet,0.002,15000,Tanh(),2,3,1900,resnet_n_2_b_3_seed_1900,9.101442628889345e-06,0.178388312458992,45,45.445226430892944,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_3_seed_1900.json,1.0134917829418555e-05,1.055954307958018e-05
ResNet,resnet,0.002,15000,Tanh(),2,3,1905,resnet_n_2_b_3_seed_1905,2.5402914616279304e-05,0.4978971481323242,45,45.529499769210815,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_3_seed_1905.json,3.9077334804460406e-05,3.929640181013383e-05
ResNet,resnet,0.002,15000,Tanh(),2,3,1924,resnet_n_2_b_3_seed_1924,1.7334199583274312e-05,0.3397503197193146,45,45.49016714096069,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_3_seed_1924.json,2.3872496967669576e-05,3.0028987039258938e-05
ResNet,resnet,0.002,15000,Tanh(),2,3,1925,resnet_n_2_b_3_seed_1925,1.5623738363501616e-05,0.3062252998352051,45,45.60010814666748,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_3_seed_1925.json,2.1698562704841606e-05,2.2516174412885446e-05
ResNet,resnet,0.002,15000,Tanh(),2,3,1926,resnet_n_2_b_3_seed_1926,0.0001465107052354142,2.8716094493865967,45,45.546971797943115,experimentos_pinn/modelos_salvos/modelo_resnet_n_2_b_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_resnet_n_2_b_3_seed_1926.json,0.00020014980691485107,0.00020174488119664602
ResNet,resnet,0.002,15000,Tanh(),3,1,1900,resnet_n_3_b_1_seed_1900,7.907708095444832e-06,0.1549910455942154,37,26.211938619613647,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_1_seed_1900.json,7.623804776812904e-06,8.878976086634793e-06
ResNet,resnet,0.002,15000,Tanh(),3,1,1905,resnet_n_3_b_1_seed_1905,7.154711511248024e-06,0.14023232460021973,37,26.29412603378296,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_1_seed_1905.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_1_seed_1905.json,1.0549797480052803e-05,1.1729911766451551e-05
ResNet,resnet,0.002,15000,Tanh(),3,1,1924,resnet_n_3_b_1_seed_1924,2.4548206056351773e-05,0.48114484548568726,37,26.328341245651245,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_1_seed_1924.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_1_seed_1924.json,6.0533362557180226e-05,3.995764021965442e-05
ResNet,resnet,0.002,15000,Tanh(),3,1,1925,resnet_n_3_b_1_seed_1925,7.424483555951156e-06,0.1455199122428894,37,26.182304620742798,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_1_seed_1925.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_1_seed_1925.json,7.511861440434586e-06,7.551774192506855e-06
ResNet,resnet,0.002,15000,Tanh(),3,1,1926,resnet_n_3_b_1_seed_1926,7.443223694281187e-06,0.14588715136051178,37,26.23552417755127,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_1_seed_1926.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_1_seed_1926.json,6.900320840941276e-06,6.933714244041766e-06
ResNet,resnet,0.002,15000,Tanh(),3,2,1900,resnet_n_3_b_2_seed_1900,7.13630333848414e-06,0.13987155258655548,61,36.86831283569336,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_2_seed_1900.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_2_seed_1900.json,6.354400284180883e-06,6.404104992725479e-06
ResNet,resnet,0.002,15000,Tanh(),3,2,1905,resnet_n_3_b_2_seed_1905,6.474752808571793e-06,0.1269051730632782,61,37.00369834899902,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_2_seed_1905.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_2_seed_1905.json,7.079956958477851e-06,1.1257874066359363e-05
ResNet,resnet,0.002,15000,Tanh(),3,2,1924,resnet_n_3_b_2_seed_1924,8.930880539992359e-06,0.1750451922416687,61,36.90010690689087,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_2_seed_1924.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_2_seed_1924.json,1.2273912034288514e-05,1.6149555212905396e-05
ResNet,resnet,0.002,15000,Tanh(),3,2,1925,resnet_n_3_b_2_seed_1925,9.035209222929552e-05,1.7709013223648071,61,36.9671094417572,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_2_seed_1925.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_2_seed_1925.json,0.00011839238868560642,0.00011871703907672781
ResNet,resnet,0.002,15000,Tanh(),3,2,1926,resnet_n_3_b_2_seed_1926,1.1604402970988303e-05,0.22744624316692352,61,36.87369084358215,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_2_seed_1926.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_2_seed_1926.json,1.4809658750891685e-05,1.4750859991181642e-05
ResNet,resnet,0.002,15000,Tanh(),3,3,1900,resnet_n_3_b_3_seed_1900,6.391393071680795e-06,0.12527130544185638,85,47.421223640441895,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_3_seed_1900.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_3_seed_1900.json,3.30925831804052e-06,3.3362640169798397e-06
ResNet,resnet,0.002,15000,Tanh(),3,3,1905,resnet_n_3_b_3_seed_1905,8.650073141325265e-06,0.16954143345355988,85,47.63511276245117,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_3_seed_1905.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_3_seed_1905.json,8.885159331839532e-06,1.1865227825182957e-05
ResNet,resnet,0.002,15000,Tanh(),3,3,1924,resnet_n_3_b_3_seed_1924,7.717187145317439e-06,0.15125685930252075,85,47.52169227600098,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_3_seed_1924.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_3_seed_1924.json,7.004524377407506e-06,7.278010875779728e-06
ResNet,resnet,0.002,15000,Tanh(),3,3,1925,resnet_n_3_b_3_seed_1925,3.920972449122928e-05,0.768510639667511,85,47.462117195129395,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_3_seed_1925.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_3_seed_1925.json,5.849067019880749e-05,8.917101258703042e-05
ResNet,resnet,0.002,15000,Tanh(),3,3,1926,resnet_n_3_b_3_seed_1926,1.2097658327547833e-05,0.2371140420436859,85,47.441301584243774,experimentos_pinn/modelos_salvos/modelo_resnet_n_3_b_3_seed_1926.pth,experimentos_pinn/historicos_loss/loss_resnet_n_3_b_3_seed_1926.json,1.5997846276150085e-05,1.606543952220818e-05
ResNet,resnet,0.002,15000,Tanh(),5,1,1900,resnet_n_5_b_1_seed_1900,1.4335852029034868e-05,0.28098273277282715,81,27.406195878982544,experimentos_pinn/modelos_salvos/modelo_resnet_n_5_b_1_seed_1900.pth,experimentos_pinn/historicos_loss/loss_resnet_n_5_b_1_seed_1900.json,1.9281706045148894e-05,1.9661731130327098e-05
